Transaction ID    Actual   Predicted   Posterior

1   " <=50K"   " >50K"   0.857142857143
2   " <=50K"   " >50K"   0.571428571429
3   " <=50K"   " <=50K"   0.714285714286
4   " <=50K"   " >50K"   1.0
5   " <=50K"   " >50K"   1.0
6   " <=50K"   " >50K"   1.0
7   " <=50K"   " <=50K"   0.714285714286
8   " <=50K"   " <=50K"   0.714285714286
9   " <=50K"   " >50K"   0.857142857143
10   " >50K"   " >50K"   0.714285714286
11   " <=50K"   " >50K"   0.571428571429
12   " <=50K"   " >50K"   1.0
13   " <=50K"   " >50K"   0.571428571429
14   " <=50K"   " >50K"   0.571428571429
15   " >50K"   " >50K"   0.857142857143
16   " >50K"   " >50K"   0.857142857143
17   " <=50K"   " <=50K"   0.714285714286
18   " >50K"   " >50K"   0.857142857143
19   " <=50K"   " <=50K"   0.714285714286
20   " <=50K"   " <=50K"   0.714285714286
21   " >50K"   " >50K"   0.857142857143
22   " >50K"   " >50K"   0.857142857143
23   " <=50K"   " >50K"   0.571428571429
24   " <=50K"   " >50K"   1.0
25   " <=50K"   " <=50K"   0.857142857143
26   " >50K"   " >50K"   0.857142857143
27   " >50K"   " >50K"   0.857142857143
28   " <=50K"   " >50K"   0.857142857143
29   " <=50K"   " >50K"   0.571428571429
30   " <=50K"   " >50K"   0.714285714286
31   " <=50K"   " >50K"   0.857142857143
32   " >50K"   " >50K"   0.857142857143
33   " >50K"   " >50K"   0.571428571429
34   " <=50K"   " >50K"   0.571428571429
35   " <=50K"   " >50K"   1.0
36   " <=50K"   " >50K"   1.0
37   " <=50K"   " <=50K"   0.571428571429
38   " <=50K"   " <=50K"   0.714285714286
39   " <=50K"   " >50K"   1.0
40   " >50K"   " >50K"   0.714285714286
41   " <=50K"   " <=50K"   0.571428571429
42   " <=50K"   " <=50K"   0.714285714286
43   " <=50K"   " >50K"   1.0
44   " <=50K"   " <=50K"   0.571428571429
45   " <=50K"   " <=50K"   0.714285714286
46   " <=50K"   " <=50K"   0.714285714286
47   " <=50K"   " >50K"   0.857142857143
48   " <=50K"   " >50K"   0.857142857143
49   " <=50K"   " <=50K"   0.571428571429
50   " <=50K"   " <=50K"   0.857142857143
51   " <=50K"   " >50K"   0.714285714286
52   " <=50K"   " <=50K"   0.714285714286
53   " >50K"   " >50K"   0.857142857143
54   " <=50K"   " >50K"   0.857142857143
55   " >50K"   " >50K"   0.857142857143
56   " >50K"   " <=50K"   0.571428571429
57   " >50K"   " >50K"   0.857142857143
58   " >50K"   " >50K"   0.857142857143
59   " <=50K"   " >50K"   1.0
60   " <=50K"   " >50K"   1.0
61   " <=50K"   " <=50K"   0.571428571429
62   " <=50K"   " <=50K"   0.571428571429
63   " <=50K"   " >50K"   0.857142857143
64   " <=50K"   " >50K"   1.0
65   " <=50K"   " >50K"   0.857142857143
66   " <=50K"   " >50K"   1.0
67   " >50K"   " >50K"   0.571428571429
68   " <=50K"   " <=50K"   0.571428571429
69   " <=50K"   " <=50K"   0.571428571429
70   " <=50K"   " <=50K"   0.571428571429
71   " <=50K"   " >50K"   0.857142857143
72   " <=50K"   " <=50K"   0.714285714286
73   " <=50K"   " >50K"   1.0
74   " >50K"   " >50K"   0.571428571429
75   " <=50K"   " >50K"   1.0
76   " <=50K"   " <=50K"   0.857142857143
77   " >50K"   " <=50K"   0.714285714286
78   " <=50K"   " >50K"   1.0
79   " <=50K"   " <=50K"   0.571428571429
80   " <=50K"   " >50K"   1.0
81   " <=50K"   " >50K"   0.714285714286
82   " <=50K"   " <=50K"   0.714285714286
83   " <=50K"   " <=50K"   0.571428571429
84   " <=50K"   " >50K"   1.0
85   " <=50K"   " >50K"   1.0
86   " <=50K"   " >50K"   0.857142857143
87   " >50K"   " >50K"   0.857142857143
88   " <=50K"   " >50K"   1.0
89   " <=50K"   " <=50K"   0.714285714286
90   " <=50K"   " <=50K"   0.714285714286
91   " <=50K"   " >50K"   1.0
92   " >50K"   " >50K"   0.714285714286
93   " >50K"   " >50K"   0.571428571429
94   " <=50K"   " >50K"   0.714285714286
95   " <=50K"   " >50K"   0.571428571429
96   " <=50K"   " >50K"   0.571428571429
97   " <=50K"   " >50K"   0.857142857143
98   " <=50K"   " >50K"   0.571428571429
99   " >50K"   " <=50K"   0.714285714286
100   " >50K"   " >50K"   0.571428571429
101   " >50K"   " >50K"   0.714285714286
102   " <=50K"   " <=50K"   0.714285714286
103   " <=50K"   " <=50K"   0.714285714286
104   " >50K"   " >50K"   0.857142857143
