Transaction ID    Actual   Predicted   Posterior

1   Iris-setosa   Iris-setosa   1.0
2   Iris-setosa   Iris-setosa   1.0
3   Iris-setosa   Iris-setosa   1.0
4   Iris-setosa   Iris-setosa   1.0
5   Iris-setosa   Iris-setosa   1.0
6   Iris-setosa   Iris-setosa   1.0
7   Iris-setosa   Iris-setosa   1.0
8   Iris-setosa   Iris-setosa   1.0
9   Iris-setosa   Iris-setosa   1.0
10   Iris-setosa   Iris-setosa   1.0
11   Iris-setosa   Iris-setosa   1.0
12   Iris-setosa   Iris-setosa   1.0
13   Iris-setosa   Iris-setosa   1.0
14   Iris-setosa   Iris-setosa   1.0
15   Iris-setosa   Iris-setosa   1.0
16   Iris-setosa   Iris-setosa   1.0
17   Iris-setosa   Iris-setosa   1.0
18   Iris-setosa   Iris-setosa   1.0
19   Iris-setosa   Iris-setosa   1.0
20   Iris-setosa   Iris-setosa   1.0
21   Iris-setosa   Iris-setosa   1.0
22   Iris-setosa   Iris-setosa   1.0
23   Iris-setosa   Iris-setosa   1.0
24   Iris-setosa   Iris-setosa   1.0
25   Iris-setosa   Iris-setosa   1.0
26   Iris-setosa   Iris-setosa   1.0
27   Iris-setosa   Iris-setosa   1.0
28   Iris-setosa   Iris-setosa   1.0
29   Iris-setosa   Iris-setosa   1.0
30   Iris-setosa   Iris-setosa   1.0
31   Iris-setosa   Iris-setosa   1.0
32   Iris-setosa   Iris-setosa   1.0
33   Iris-setosa   Iris-setosa   1.0
34   Iris-setosa   Iris-setosa   1.0
35   Iris-setosa   Iris-setosa   1.0
36   Iris-setosa   Iris-setosa   1.0
37   Iris-setosa   Iris-setosa   1.0
38   Iris-setosa   Iris-setosa   1.0
39   Iris-setosa   Iris-setosa   1.0
40   Iris-setosa   Iris-setosa   1.0
41   Iris-setosa   Iris-setosa   1.0
42   Iris-setosa   Iris-setosa   1.0
43   Iris-setosa   Iris-setosa   1.0
44   Iris-setosa   Iris-setosa   1.0
45   Iris-setosa   Iris-setosa   1.0
46   Iris-setosa   Iris-setosa   1.0
47   Iris-setosa   Iris-setosa   1.0
48   Iris-setosa   Iris-setosa   1.0
49   Iris-setosa   Iris-setosa   1.0
50   Iris-setosa   Iris-setosa   1.0
51   Iris-versicolor   Iris-versicolor   1.0
52   Iris-versicolor   Iris-versicolor   0.8
53   Iris-versicolor   Iris-versicolor   0.6
54   Iris-versicolor   Iris-versicolor   1.0
55   Iris-versicolor   Iris-versicolor   0.8
56   Iris-versicolor   Iris-versicolor   1.0
57   Iris-versicolor   Iris-versicolor   1.0
58   Iris-versicolor   Iris-versicolor   1.0
59   Iris-versicolor   Iris-versicolor   1.0
60   Iris-versicolor   Iris-versicolor   0.8
61   Iris-versicolor   Iris-versicolor   1.0
62   Iris-versicolor   Iris-versicolor   0.8
63   Iris-versicolor   Iris-versicolor   1.0
64   Iris-versicolor   Iris-versicolor   1.0
65   Iris-versicolor   Iris-versicolor   0.8
66   Iris-versicolor   Iris-versicolor   1.0
67   Iris-versicolor   Iris-versicolor   0.8
68   Iris-versicolor   Iris-versicolor   1.0
69   Iris-versicolor   Iris-versicolor   0.8
70   Iris-versicolor   Iris-versicolor   0.8
71   Iris-versicolor   Iris-versicolor   0.6
72   Iris-versicolor   Iris-versicolor   1.0
73   Iris-versicolor   Iris-versicolor   0.6
74   Iris-versicolor   Iris-versicolor   1.0
75   Iris-versicolor   Iris-versicolor   1.0
76   Iris-versicolor   Iris-versicolor   1.0
77   Iris-versicolor   Iris-versicolor   1.0
78   Iris-versicolor   Iris-virginica   0.6
79   Iris-versicolor   Iris-versicolor   0.8
80   Iris-versicolor   Iris-versicolor   1.0
81   Iris-versicolor   Iris-versicolor   0.8
82   Iris-versicolor   Iris-versicolor   0.8
83   Iris-versicolor   Iris-versicolor   0.8
84   Iris-versicolor   Iris-virginica   0.6
85   Iris-versicolor   Iris-versicolor   0.8
86   Iris-versicolor   Iris-versicolor   1.0
87   Iris-versicolor   Iris-versicolor   1.0
88   Iris-versicolor   Iris-versicolor   1.0
89   Iris-versicolor   Iris-versicolor   1.0
90   Iris-versicolor   Iris-versicolor   1.0
91   Iris-versicolor   Iris-versicolor   1.0
92   Iris-versicolor   Iris-versicolor   1.0
93   Iris-versicolor   Iris-versicolor   1.0
94   Iris-versicolor   Iris-versicolor   1.0
95   Iris-versicolor   Iris-versicolor   1.0
96   Iris-versicolor   Iris-versicolor   1.0
97   Iris-versicolor   Iris-versicolor   1.0
98   Iris-versicolor   Iris-versicolor   1.0
99   Iris-versicolor   Iris-versicolor   0.8
100   Iris-versicolor   Iris-versicolor   1.0
101   Iris-virginica   Iris-virginica   1.0
102   Iris-virginica   Iris-virginica   0.6
103   Iris-virginica   Iris-virginica   0.8
104   Iris-virginica   Iris-virginica   0.8
105   Iris-virginica   Iris-virginica   0.8
106   Iris-virginica   Iris-virginica   1.0
107   Iris-virginica   Iris-versicolor   0.8
108   Iris-virginica   Iris-virginica   0.6
109   Iris-virginica   Iris-virginica   1.0
110   Iris-virginica   Iris-virginica   1.0
111   Iris-virginica   Iris-virginica   0.8
112   Iris-virginica   Iris-virginica   0.6
113   Iris-virginica   Iris-virginica   0.8
114   Iris-virginica   Iris-virginica   0.6
115   Iris-virginica   Iris-virginica   0.8
116   Iris-virginica   Iris-virginica   0.8
117   Iris-virginica   Iris-virginica   0.8
118   Iris-virginica   Iris-virginica   1.0
119   Iris-virginica   Iris-virginica   1.0
120   Iris-virginica   Iris-versicolor   0.8
121   Iris-virginica   Iris-virginica   0.8
122   Iris-virginica   Iris-versicolor   0.6
123   Iris-virginica   Iris-virginica   0.8
124   Iris-virginica   Iris-virginica   0.6
125   Iris-virginica   Iris-virginica   0.8
126   Iris-virginica   Iris-virginica   0.8
127   Iris-virginica   Iris-versicolor   0.6
128   Iris-virginica   Iris-virginica   0.6
129   Iris-virginica   Iris-virginica   0.8
130   Iris-virginica   Iris-versicolor   0.6
131   Iris-virginica   Iris-virginica   0.8
132   Iris-virginica   Iris-virginica   0.8
133   Iris-virginica   Iris-virginica   0.8
134   Iris-virginica   Iris-virginica   0.6
135   Iris-virginica   Iris-versicolor   0.6
136   Iris-virginica   Iris-virginica   1.0
137   Iris-virginica   Iris-virginica   0.8
138   Iris-virginica   Iris-virginica   0.8
139   Iris-virginica   Iris-versicolor   0.6
140   Iris-virginica   Iris-virginica   1.0
141   Iris-virginica   Iris-virginica   0.8
142   Iris-virginica   Iris-virginica   0.8
143   Iris-virginica   Iris-virginica   0.6
144   Iris-virginica   Iris-virginica   1.0
145   Iris-virginica   Iris-virginica   1.0
146   Iris-virginica   Iris-virginica   0.8
147   Iris-virginica   Iris-versicolor   0.6
148   Iris-virginica   Iris-virginica   0.8
149   Iris-virginica   Iris-virginica   1.0
150   Iris-virginica   Iris-virginica   0.6
=====================================================================================
END OF FILE
